Brand,Company,Date,ProductDescription,ProductType,Reason,Url,Terminated
Multiple brand names,"Gold Star Distribution, Inc.",12/26/2025,"All FDA-regulated products held at facility including drugs, medical devices, cosmetics, dietary supplements, human food, and pet food","Animal & Veterinary, Foodborne Illness, Cosmetics, Foodborne Illness, Dietary Supplements, Foodborne Illness, Drugs, Foodborne Illness, Food & Beverages, Foodborne Illness, Medical Devices, Foodborne Illness","Potential Salmonella contamination, presence of rodent and avian contamination and insanitary conditions during the storage process.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gold-star-distribution-inc-issues-recall-certain-fda-regulated-products-three-states-including-drugs,
"Country Vet, Heartland Harvest","Consumers Supply Distributing, LLC",12/24/2025,Dog Biscuits,"Animal & Veterinary, Foodborne Illness, Pet Food, Food & Beverages, Foodborne Illness, Pet Food",Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/consumers-supply-distributing-llc-recalls-country-vet-biscuits-dogs-due-possible-salmonella-health,
Willy Pete’s Chocolates,Willy Pete’s Chocolate Company LLC,12/23/2025,Almond Despair chocolate bar,"Food & Beverages, Allergens",Potential or Undeclared Allergen - Almond,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/recall-notice-willy-petes-chocolate-company-llc-harwinton-issues-recall-chocolate-bars-due-almonds,
Atwater's,Atwater's,12/23/2025,Cookie tins,"Food & Beverages, Allergens","Undeclared tree nut allergens, almonds, pecans, and walnuts.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/atwaters-issues-allergy-alert-undeclared-tree-nut-allergen-cookie-tin-labels,
Gregory's Foods,"Gregory's Foods, Inc.",12/23/2025,Bag Full of Cookies White Chocolate Macadamia Nut Frozen Cookie Dough,"Food & Beverages, Allergens",Undeclared peanuts,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gregorys-foods-issues-allergy-alert-undeclared-peanuts-bag-full-cookies-white-chocolate-macadamia,
Choceur,"Silvestri Sweet, Inc.",12/23/2025,Holiday Bark,"Food & Beverages, Allergens",Undeclared pecans and wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/silvestri-sweets-expands-voluntary-allergy-alert-undeclared-pecan-and-wheat-cookie-butter-holiday,
Virgo,Handelnine Global Limited d/b/a Navafresh,12/22/2025,Rheumacare Capsules,Drugs,Elevated levels of lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/handelnine-global-limited-dba-navafresh-issues-nationwide-recall-rheumacare-capsules-virgo-uap,
Troemner Family Farm,Troemner Farm,12/22/2025,Pfeffernusse Cookies,"Food & Beverages, Allergens","Undeclared milk, wheat, and soy allergens",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/troemner-roemner-farm-issues-allergy-alert-undeclared-milk-wheat-and-soy-pfeffernusse-cookies,
Fran’s,Contains undeclared hazelnut,12/20/2025,Almondmilk Chocolate 46% Madagascar Plant-Based,"Food & Beverages, Allergens",Contains undeclared hazelnut,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/frans-chocolates-ltd-issues-allergy-alert-undeclared-hazelnuts-frans-pure-bar-almondmilk-chocolate,
Market 32 and Waterfront Bistro,Direct Source Seafood LLC,12/19/2025,Frozen Raw Shrimp,"Food & Beverages, Contaminants, Shellfish","Product may have been prepared, packed, or held under conditions whereby they may have become exposed to very low levels of cesium-137 (Cs-137)",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/direct-source-seafood-llc-recalling-frozen-raw-shrimp-because-product-may-have-become-contaminated,
